driverid,surname,year,avg_std_lap_time,total_races
1,Hamilton,2007,0 days 00:00:17.647607450,17
1,Hamilton,2008,0 days 00:00:11.187730754,18
1,Hamilton,2009,0 days 00:00:09.603404684,16
1,Hamilton,2010,0 days 00:00:30.738286051,18
1,Hamilton,2011,0 days 00:00:13.852983042,19
1,Hamilton,2012,0 days 00:00:27.681755374,19
1,Hamilton,2013,0 days 00:00:16.258427738,19
1,Hamilton,2014,0 days 00:00:17.690227822,18
1,Hamilton,2015,0 days 00:00:09.407679047,19
1,Hamilton,2016,0 days 00:00:37.213146306,20
1,Hamilton,2017,0 days 00:00:19.173522775,20
1,Hamilton,2018,0 days 00:00:11.156996520,21
1,Hamilton,2019,0 days 00:00:08.873132728,21
1,Hamilton,2020,0 days 00:00:50.446021149,16
1,Hamilton,2021,0 days 00:01:02.001341652,21
1,Hamilton,2022,0 days 00:00:41.862410474,21
1,Hamilton,2023,0 days 00:00:51.243253661,21
1,Hamilton,2024,0 days 00:00:35.513299752,23
3,Rosberg,2006,0 days 00:00:08.737565130,14
3,Rosberg,2007,0 days 00:00:07.907383246,16
3,Rosberg,2008,0 days 00:00:09.984624899,18
3,Rosberg,2009,0 days 00:00:10.206014756,17
3,Rosberg,2010,0 days 00:00:42.859292275,19
3,Rosberg,2011,0 days 00:00:14.438349609,18
3,Rosberg,2012,0 days 00:00:29.061609487,18
3,Rosberg,2013,0 days 00:00:15.769310402,19
3,Rosberg,2014,0 days 00:00:16.538440120,19
3,Rosberg,2015,0 days 00:00:09.576206940,19
3,Rosberg,2016,0 days 00:00:37.485759453,20
4,Alonso,2001,0 days 00:00:08.184978693,16
4,Alonso,2003,0 days 00:00:09.605838055,16
4,Alonso,2004,0 days 00:00:08.979231786,18
4,Alonso,2005,0 days 00:00:08.280301119,18
4,Alonso,2006,0 days 00:00:08.960093544,18
4,Alonso,2007,0 days 00:00:16.970275355,17
4,Alonso,2008,0 days 00:00:10.352824044,17
4,Alonso,2009,0 days 00:00:10.630019227,16
4,Alonso,2010,0 days 00:00:28.380500386,19
4,Alonso,2011,0 days 00:00:14.355638699,19
4,Alonso,2012,0 days 00:00:28.603181172,18
4,Alonso,2013,0 days 00:00:15.866017105,18
4,Alonso,2014,0 days 00:00:07.832797559,18
4,Alonso,2015,0 days 00:00:08.610135047,16
4,Alonso,2016,0 days 00:00:30.411333403,20
4,Alonso,2017,0 days 00:00:20.351338284,17
4,Alonso,2018,0 days 00:00:11.098807533,18
4,Alonso,2021,0 days 00:01:02.505098149,21
4,Alonso,2022,0 days 00:00:39.773339031,22
4,Alonso,2023,0 days 00:00:51.159598089,22
4,Alonso,2024,0 days 00:00:35.407194695,24
8,Räikkönen,2001,0 days 00:00:09.134682105,14
8,Räikkönen,2002,0 days 00:00:07.669110514,16
8,Räikkönen,2003,0 days 00:00:08.614350991,14
8,Räikkönen,2004,0 days 00:00:09.014063098,18
8,Räikkönen,2005,0 days 00:00:09.851635617,18
8,Räikkönen,2006,0 days 00:00:08.019006174,15
8,Räikkönen,2007,0 days 00:00:20.779659729,17
8,Räikkönen,2008,0 days 00:00:10.276102330,18
8,Räikkönen,2009,0 days 00:00:10.108423080,17
8,Räikkönen,2012,0 days 00:00:27.206095173,20
8,Räikkönen,2013,0 days 00:00:17.092351338,16
8,Räikkönen,2014,0 days 00:00:17.186641623,18
8,Räikkönen,2015,0 days 00:00:08.836256488,18
8,Räikkönen,2016,0 days 00:00:26.499255262,21
8,Räikkönen,2017,0 days 00:00:22.359936720,17
8,Räikkönen,2018,0 days 00:00:12.512078813,21
8,Räikkönen,2019,0 days 00:00:07.790603081,21
8,Räikkönen,2020,0 days 00:00:44.740583281,17
8,Räikkönen,2021,0 days 00:01:11.006361661,18
9,Kubica,2006,0 days 00:00:08.802038290,6
9,Kubica,2007,0 days 00:00:17.350337465,16
9,Kubica,2008,0 days 00:00:09.901722053,18
9,Kubica,2009,0 days 00:00:09.393161388,16
9,Kubica,2010,0 days 00:00:30.759590599,18
9,Kubica,2019,0 days 00:00:07.782215153,21
9,Kubica,2021,0 days 00:00:09.631639185,2
13,Massa,2002,0 days 00:00:05.239096323,14
13,Massa,2004,0 days 00:00:07.902949463,17
13,Massa,2005,0 days 00:00:16.017402598,18
13,Massa,2006,0 days 00:00:08.139063119,17
13,Massa,2007,0 days 00:00:17.913414314,17
13,Massa,2008,0 days 00:00:10.331088673,18
13,Massa,2009,0 days 00:00:10.219127970,9
13,Massa,2010,0 days 00:00:29.605065579,18
13,Massa,2011,0 days 00:00:07.442554605,19
13,Massa,2012,0 days 00:00:27.231828865,20
13,Massa,2013,0 days 00:00:06.658996378,18
13,Massa,2014,0 days 00:00:18.435911114,16
13,Massa,2015,0 days 00:00:09.162649864,19
13,Massa,2016,0 days 00:00:39.352440136,21
13,Massa,2017,0 days 00:00:23.570096379,18
16,Sutil,2007,0 days 00:00:12.894159201,15
16,Sutil,2008,0 days 00:00:09.653847595,17
16,Sutil,2009,0 days 00:00:10.048074665,14
16,Sutil,2010,0 days 00:00:30.952644860,19
16,Sutil,2011,0 days 00:00:14.887708,19
16,Sutil,2013,0 days 00:00:16.616331992,18
16,Sutil,2014,0 days 00:00:18.709751447,18
18,Button,2000,0 days 00:00:07.964595425,17
18,Button,2001,0 days 00:00:10.565603239,16
18,Button,2002,0 days 00:00:05.331208627,16
18,Button,2003,0 days 00:00:09.386155829,15
18,Button,2004,0 days 00:00:08.539655419,17
18,Button,2005,0 days 00:00:08.065033272,15
18,Button,2006,0 days 00:00:09.460300116,17
18,Button,2007,0 days 00:00:06.411315143,14
18,Button,2008,0 days 00:00:09.790537920,17
18,Button,2009,0 days 00:00:09.155388082,16
18,Button,2010,0 days 00:00:29.350327193,18
18,Button,2011,0 days 00:00:14.690465834,19
18,Button,2012,0 days 00:00:28.845861401,19
18,Button,2013,0 days 00:00:15.672841503,19
18,Button,2014,0 days 00:00:16.316651080,19
18,Button,2015,0 days 00:00:08.906789206,17
18,Button,2016,0 days 00:00:30.434751914,20
18,Button,2017,0 days 00:00:05.837140668,1
20,Vettel,2007,0 days 00:00:09.751343652,8
20,Vettel,2008,0 days 00:00:08.993434807,14
20,Vettel,2009,0 days 00:00:10.339061825,17
20,Vettel,2010,0 days 00:00:31.338272609,19
20,Vettel,2011,0 days 00:00:15.411028374,18
20,Vettel,2012,0 days 00:00:27.594900928,20
20,Vettel,2013,0 days 00:00:15.638950833,19
20,Vettel,2014,0 days 00:00:18.326283054,18
20,Vettel,2015,0 days 00:00:09.557607674,19
20,Vettel,2016,0 days 00:00:39.588720468,18
20,Vettel,2017,0 days 00:00:19.202790729,18
20,Vettel,2018,0 days 00:00:10.862445903,21
20,Vettel,2019,0 days 00:00:08.415897255,21
20,Vettel,2020,0 days 00:00:36.163863953,16
20,Vettel,2021,0 days 00:01:05.124748920,21
20,Vettel,2022,0 days 00:00:41.466572574,20
154,Grosjean,2009,0 days 00:00:08.671546826,5
154,Grosjean,2012,0 days 00:00:06.718491593,15
154,Grosjean,2013,0 days 00:00:18.148181140,18
154,Grosjean,2014,0 days 00:00:16.725973312,19
154,Grosjean,2015,0 days 00:00:09.153003467,16
154,Grosjean,2016,0 days 00:00:24.115303362,19
154,Grosjean,2017,0 days 00:00:19.438842903,19
154,Grosjean,2018,0 days 00:00:09.753482891,19
154,Grosjean,2019,0 days 00:00:07.925253442,20
154,Grosjean,2020,0 days 00:00:40.819742217,14
155,Kobayashi,2009,0 days 00:00:07.590129741,2
155,Kobayashi,2010,0 days 00:00:33.743051510,15
155,Kobayashi,2011,0 days 00:00:15.256392627,18
155,Kobayashi,2012,0 days 00:00:30.520815662,20
155,Kobayashi,2014,0 days 00:00:19.529996224,14
807,Hülkenberg,2010,0 days 00:00:31.208081179,16
807,Hülkenberg,2012,0 days 00:00:28.699377296,18
807,Hülkenberg,2013,0 days 00:00:16.117768151,18
807,Hülkenberg,2014,0 days 00:00:16.815461845,19
807,Hülkenberg,2015,0 days 00:00:07.138629565,17
807,Hülkenberg,2016,0 days 00:00:40.449852952,18
807,Hülkenberg,2017,0 days 00:00:23.789389952,19
807,Hülkenberg,2018,0 days 00:00:09.738410764,18
807,Hülkenberg,2019,0 days 00:00:07.480623460,21
807,Hülkenberg,2020,0 days 00:00:06.924265550,2
807,Hülkenberg,2022,0 days 00:00:12.519327452,2
807,Hülkenberg,2023,0 days 00:00:49.402026093,22
807,Hülkenberg,2024,0 days 00:00:18.099132700,23
813,Maldonado,2011,0 days 00:00:14.417081512,19
813,Maldonado,2012,0 days 00:00:31.166760542,17
813,Maldonado,2013,0 days 00:00:07.703665524,19
813,Maldonado,2014,0 days 00:00:18.145282565,17
813,Maldonado,2015,0 days 00:00:09.595473484,14
814,di Resta,2011,0 days 00:00:14.317493280,19
814,di Resta,2012,0 days 00:00:28.161032775,19
814,di Resta,2013,0 days 00:00:16.319750663,18
814,di Resta,2017,0 days 00:00:11.682805880,1
815,Pérez,2011,0 days 00:00:07.527181699,17
815,Pérez,2012,0 days 00:00:29.335958529,18
815,Pérez,2013,0 days 00:00:15.711776021,19
815,Pérez,2014,0 days 00:00:18.129396172,16
815,Pérez,2015,0 days 00:00:08.895260293,19
815,Pérez,2016,0 days 00:00:35.742501753,21
815,Pérez,2017,0 days 00:00:21.556825398,20
815,Pérez,2018,0 days 00:00:10.638452552,21
815,Pérez,2019,0 days 00:00:07.048419870,20
815,Pérez,2020,0 days 00:00:51.260919671,15
815,Pérez,2021,0 days 00:01:00.767154846,20
815,Pérez,2022,0 days 00:00:40.353555453,22
815,Pérez,2023,0 days 00:01:14.286652909,21
815,Pérez,2024,0 days 00:00:25.071592978,22
817,Ricciardo,2011,0 days 00:00:21.953525322,11
817,Ricciardo,2012,0 days 00:00:27.187180639,20
817,Ricciardo,2013,0 days 00:00:16.158915046,19
817,Ricciardo,2014,0 days 00:00:17.318371260,19
817,Ricciardo,2015,0 days 00:00:09.244980896,19
817,Ricciardo,2016,0 days 00:00:35.966818141,21
817,Ricciardo,2017,0 days 00:00:22.152644492,19
817,Ricciardo,2018,0 days 00:00:13.526708881,20
817,Ricciardo,2019,0 days 00:00:08.057965688,21
817,Ricciardo,2020,0 days 00:00:46.396382525,17
817,Ricciardo,2021,0 days 00:01:03.059776670,21
817,Ricciardo,2022,0 days 00:00:40.150266890,21
817,Ricciardo,2023,0 days 00:00:53.675000587,7
817,Ricciardo,2024,0 days 00:00:22.839854568,17
818,Vergne,2012,0 days 00:00:27.116714886,20
818,Vergne,2013,0 days 00:00:16.274192313,19
818,Vergne,2014,0 days 00:00:17.394331225,19
820,Chilton,2013,0 days 00:00:15.198490125,19
820,Chilton,2014,0 days 00:00:18.629644087,15
821,Gutiérrez,2013,0 days 00:00:16.036402642,18
821,Gutiérrez,2014,0 days 00:00:17.391295863,19
821,Gutiérrez,2016,0 days 00:00:30.660133286,21
822,Bottas,2013,0 days 00:00:15.296762193,19
822,Bottas,2014,0 days 00:00:16.588557904,19
822,Bottas,2015,0 days 00:00:08.980497183,18
822,Bottas,2016,0 days 00:00:35.933402483,21
822,Bottas,2017,0 days 00:00:18.871166204,20
822,Bottas,2018,0 days 00:00:11.229213411,21
822,Bottas,2019,0 days 00:00:08.024745947,21
822,Bottas,2020,0 days 00:00:47.874909068,17
822,Bottas,2021,0 days 00:00:48.074976822,20
822,Bottas,2022,0 days 00:00:52.404416175,21
822,Bottas,2023,0 days 00:00:51.047420855,22
822,Bottas,2024,0 days 00:00:34.863315743,24
824,Bianchi,2013,0 days 00:00:17.570530742,18
824,Bianchi,2014,0 days 00:00:28.875135110,14
825,Magnussen,2014,0 days 00:00:16.251382745,19
825,Magnussen,2016,0 days 00:00:26.873109378,21
825,Magnussen,2017,0 days 00:00:18.927664353,19
825,Magnussen,2018,0 days 00:00:10.639946948,21
825,Magnussen,2019,0 days 00:00:08.624691629,21
825,Magnussen,2020,0 days 00:00:18.788768530,16
825,Magnussen,2022,0 days 00:00:34.549026131,21
825,Magnussen,2023,0 days 00:00:28.302797382,21
825,Magnussen,2024,0 days 00:00:18.157247030,21
826,Kvyat,2014,0 days 00:00:17.113726601,19
826,Kvyat,2015,0 days 00:00:08.271121775,18
826,Kvyat,2016,0 days 00:00:33.721664847,19
826,Kvyat,2017,0 days 00:00:11.292605902,15
826,Kvyat,2019,0 days 00:00:07.971621730,21
826,Kvyat,2020,0 days 00:00:46.829922631,17
828,Ericsson,2014,0 days 00:00:18.234545796,16
828,Ericsson,2015,0 days 00:00:07.957588426,17
828,Ericsson,2016,0 days 00:00:18.060721439,20
828,Ericsson,2017,0 days 00:00:18.587922057,20
828,Ericsson,2018,0 days 00:00:09.832336407,21
829,Stevens,2014,0 days 00:00:05.500779641,1
829,Stevens,2015,0 days 00:00:07.628395841,15
830,Verstappen,2015,0 days 00:00:09.111325174,18
830,Verstappen,2016,0 days 00:00:36.139542813,21
830,Verstappen,2017,0 days 00:00:08.623848795,17
830,Verstappen,2018,0 days 00:00:10.919835701,20
830,Verstappen,2019,0 days 00:00:08.013654151,20
830,Verstappen,2020,0 days 00:00:40.216691200,15
830,Verstappen,2021,0 days 00:00:37.947426844,20
830,Verstappen,2022,0 days 00:00:41.192879369,22
830,Verstappen,2023,0 days 00:00:50.080753663,22
830,Verstappen,2024,0 days 00:00:36.584272240,23
831,Nasr,2015,0 days 00:00:08.291816524,18
831,Nasr,2016,0 days 00:00:51.527247439,21
832,Sainz,2015,0 days 00:00:11.507508382,18
832,Sainz,2016,0 days 00:00:30.281407548,20
832,Sainz,2017,0 days 00:00:19.247000993,17
832,Sainz,2018,0 days 00:00:10.106835798,21
832,Sainz,2019,0 days 00:00:07.189949685,20
832,Sainz,2020,0 days 00:00:33.542897608,15
832,Sainz,2021,0 days 00:01:02.929422304,21
832,Sainz,2022,0 days 00:00:41.586012933,18
832,Sainz,2023,0 days 00:00:51.051588137,21
832,Sainz,2024,0 days 00:00:37.410234297,23
833,Merhi,2015,0 days 00:00:07.393595880,13
834,Rossi,2015,0 days 00:00:08.440279918,5
835,Palmer,2016,0 days 00:00:24.159340115,20
835,Palmer,2017,0 days 00:00:11.123518989,14
836,Wehrlein,2016,0 days 00:00:31.561380272,19
836,Wehrlein,2017,0 days 00:00:19.750757164,17
837,Haryanto,2016,0 days 00:00:09.684104904,11
838,Vandoorne,2016,0 days 00:00:04.744378777,1
838,Vandoorne,2017,0 days 00:00:19.363982044,18
838,Vandoorne,2018,0 days 00:00:10.439578186,21
839,Ocon,2016,0 days 00:00:56.241308894,9
839,Ocon,2017,0 days 00:00:18.437903974,19
839,Ocon,2018,0 days 00:00:09.384714722,18
839,Ocon,2020,0 days 00:00:31.364388803,17
839,Ocon,2021,0 days 00:00:53.385243332,19
839,Ocon,2022,0 days 00:00:42.096141074,22
839,Ocon,2023,0 days 00:00:45.130690766,21
839,Ocon,2024,0 days 00:00:25.465735572,21
840,Stroll,2017,0 days 00:00:18.357858220,19
840,Stroll,2018,0 days 00:00:10.563492752,20
840,Stroll,2019,0 days 00:00:07.255693803,21
840,Stroll,2020,0 days 00:00:40.037046242,14
840,Stroll,2021,0 days 00:00:42.113664536,20
840,Stroll,2022,0 days 00:00:39.051099994,22
840,Stroll,2023,0 days 00:00:50.625602265,21
840,Stroll,2024,0 days 00:00:28.461305049,23
841,Giovinazzi,2017,0 days 00:00:04.371592180,1
841,Giovinazzi,2019,0 days 00:00:07.326855254,21
841,Giovinazzi,2020,0 days 00:00:30.995089748,17
841,Giovinazzi,2021,0 days 00:01:02.350533097,21
842,Gasly,2017,0 days 00:00:07.455522164,5
842,Gasly,2018,0 days 00:00:09.684861620,18
842,Gasly,2019,0 days 00:00:08.081303503,21
842,Gasly,2020,0 days 00:00:33.041452210,16
842,Gasly,2021,0 days 00:01:08.186558674,19
842,Gasly,2022,0 days 00:00:47.041511365,22
842,Gasly,2023,0 days 00:00:45.715806824,21
842,Gasly,2024,0 days 00:00:37.146876738,22
843,Hartley,2017,0 days 00:00:06.761459180,4
843,Hartley,2018,0 days 00:00:10.191499217,17
844,Leclerc,2018,0 days 00:00:09.739927872,19
844,Leclerc,2019,0 days 00:00:08.264187215,21
844,Leclerc,2020,0 days 00:00:37.978438481,15
844,Leclerc,2021,0 days 00:01:00.964672520,19
844,Leclerc,2022,0 days 00:00:40.715532434,22
844,Leclerc,2023,0 days 00:00:16.495364784,20
844,Leclerc,2024,0 days 00:00:34.689551404,24
845,Sirotkin,2018,0 days 00:00:09.287124798,19
846,Norris,2019,0 days 00:00:08.058311747,21
846,Norris,2020,0 days 00:00:46.338068265,17
846,Norris,2021,0 days 00:00:57.531880775,20
846,Norris,2022,0 days 00:00:39.070617796,22
846,Norris,2023,0 days 00:00:50.652966305,21
846,Norris,2024,0 days 00:00:34.988087650,24
847,Russell,2019,0 days 00:00:07.095099886,21
847,Russell,2020,0 days 00:00:45.167211071,17
847,Russell,2021,0 days 00:00:44.863397927,21
847,Russell,2022,0 days 00:00:22.146839156,21
847,Russell,2023,0 days 00:00:47.812488671,22
847,Russell,2024,0 days 00:00:34.440741194,24
848,Albon,2019,0 days 00:00:08.227601600,21
848,Albon,2020,0 days 00:00:46.638054775,17
848,Albon,2022,0 days 00:00:19.026853291,19
848,Albon,2023,0 days 00:00:30.312698790,21
848,Albon,2024,0 days 00:00:20.585580371,21
849,Latifi,2020,0 days 00:00:32.443549965,17
849,Latifi,2021,0 days 00:00:55.886707968,20
849,Latifi,2022,0 days 00:00:39.446992465,22
850,Fittipaldi,2020,0 days 00:00:10.401483302,2
851,Aitken,2020,0 days 00:00:10.585355654,1
852,Tsunoda,2021,0 days 00:01:07.511918927,19
852,Tsunoda,2022,0 days 00:00:40.860939268,21
852,Tsunoda,2023,0 days 00:00:52.865105635,20
852,Tsunoda,2024,0 days 00:00:35.527474851,23
853,Mazepin,2021,0 days 00:01:03.592099599,18
854,Schumacher,2021,0 days 00:00:53.972771627,20
854,Schumacher,2022,0 days 00:00:33.966856575,21
855,Zhou,2022,0 days 00:00:20.346247772,21
855,Zhou,2023,0 days 00:00:42.664176405,22
855,Zhou,2024,0 days 00:00:45.250650327,24
856,de Vries,2022,0 days 00:00:09.456664775,1
856,de Vries,2023,0 days 00:00:22.804342445,10
857,Piastri,2023,0 days 00:00:52.252346282,21
857,Piastri,2024,0 days 00:00:34.768103097,24
858,Sargeant,2023,0 days 00:00:30.433280620,22
858,Sargeant,2024,0 days 00:00:41.693753282,14
859,Lawson,2023,0 days 00:01:06.261024476,5
859,Lawson,2024,0 days 00:00:38.195815298,6
860,Bearman,2024,0 days 00:01:05.452218485,3
861,Colapinto,2024,0 days 00:00:08.120404797,8
862,Doohan,2024,0 days 00:00:05.119091807,1
